Portfolio,Annual Return,Volatility,Sharpe,Tracking Error,Excess Return
Efficient_10_years,0.1672100887530944,0.16939421510788608,0.9871062518079462,0.2255662389148706,0.06806471110745244
60_40_10_years,0.10046412460000274,0.10163638986482822,0.9884660871329203,0.21732981732684953,0.0013187469543607805
Efficient_5_years,0.21840260006787507,0.2218714478083243,0.9843655063564286,0.29971194027367626,0.21099503545535722
60_40_5_years,0.13117432956564862,0.1331227542081209,0.9853636994361898,0.26320023656843583,0.12376676495313077
Efficient_3_years,0.07268596703148418,0.12179210607682307,0.5968035973171849,0.10690751238617226,0.026396148907217372
60_40_3_years,0.04379454051643031,0.07307522069966108,0.599307673615188,0.12404301035422068,-0.0024952776078365005
