date,BOVA11.SA,IVVB11.SA,XFIX11.SA,^BVSP,selic_rate,LFT.SIM
2016-05-09,-0.015702661378712346,0.0036363184251366754,-0.004618522842444239,-0.01407633705866429,0.052531,5.2531e-4
2016-05-10,0.041599381143948566,-0.015700459227733665,0.007926585639346895,0.04081192390664845,0.052531,5.2531e-4
2016-05-11,-0.006785619937834775,-4.0898132134870036e-4,0.0037083450551136377,-0.005784703510391731,0.052531,5.2531e-4
2016-05-12,0.004294382640424255,0.009274417730579687,0.008236508179177537,0.009040254719126617,0.052531,5.2531e-4
2016-05-13,-0.023906696287599005,0.00418915619721294,0.006058997832913082,-0.026990477263762913,0.052531,5.2531e-4
2016-05-16,-0.0021903745057301194,0.00417178304633703,0.007014745409329448,-1.930352868506624e-5,0.052531,5.2531e-4
2016-05-17,-0.014567941196263479,-0.012865170854159835,0.002475787793181361,-0.018608960870992064,0.052531,5.2531e-4
2016-05-18,-0.007897921855256063,0.02104256510050373,-5.474339035770326e-4,-0.005448572945966679,0.052531,5.2531e-4
2016-05-19,-0.0018371126659391113,-0.003191036653251045,-0.005247040370467193,-0.00848463272813571,0.052531,5.2531e-4
2016-05-20,-0.01267899237700254,-0.006002461922228863,0.00245903177970086,-0.00817824586599647,0.052531,5.2531e-4
2016-05-23,-0.011598955525116583,0.013016656795480142,-0.0037450378248820027,-0.007903786979868488,0.052531,5.2531e-4
2016-05-24,0.0027241670178661526,0.014703942797225755,0.0024935468511140257,3.040745996352179e-4,0.052531,5.2531e-4
2016-05-25,0.0016719296469351885,0.010835533258334085,5.937128929442981e-4,0.0027966359306921262,0.052531,5.2531e-4
2016-05-27,-0.006885078843178127,0.009944422575637546,9.743605758720797e-4,-0.008730271002162393,0.052531,5.2531e-4
2016-05-30,-0.0018907595687597256,0.003836356310299882,0.004305476691147447,-0.0017736641454811908,0.052531,5.2531e-4
2016-05-31,-0.010313573586203328,-0.004458579288166842,0.0017707252517846772,-0.01004819867657869,0.052531,5.2531e-4
2016-06-01,0.009783051467340043,-0.004862506402980249,0.003150661142672817,0.01116108268691196,0.052531,5.2531e-4
2016-06-02,0.019376621577769315,5.143489424455083e-4,0.00114378276783067,0.017832003754105985,0.052531,5.2531e-4
2016-06-03,0.014462746408549387,-0.018378104999925426,3.211283957784694e-4,0.014673161344638919,0.052531,5.2531e-4
2016-06-06,-0.005091649852734026,-0.004713283887103681,0.0059698359684161595,-0.003694264999308583,0.052531,5.2531e-4
2016-06-07,0.0020471298248112557,-0.011444293022957575,-0.005308441956943355,0.001110406091370475,0.052531,5.2531e-4
2016-06-08,0.026557695950942373,-0.018629427777147822,0.00856351375529818,0.02259942956742189,0.052531,5.2531e-4
2016-06-09,-0.011741296568913206,0.005966134798728762,0.0012601623529555628,-0.009897538205272283,0.052531,5.2531e-4
2016-06-10,-0.03463554623415399,5.391685430786719e-4,0.0036474275554903013,-0.03317813685981452,0.052531,5.2531e-4
2016-06-13,0.0033375021275650063,0.00687046320587692,-0.0021427614838623876,0.004835903039132283,0.052531,5.2531e-4
2016-06-14,-0.020790021449543783,-0.001873152176209869,-0.003879894095972447,-0.020398300477235676,0.052531,5.2531e-4
2016-06-15,0.006369491751101686,-0.005227873962808882,0.0015922981762062083,0.005488406512086819,0.052531,5.2531e-4
2016-06-16,0.012658195249076298,0.003773060002037587,-9.59974563731314e-4,0.010160482469590004,0.052531,5.2531e-4
2016-06-17,4.1667620340990474e-4,-0.01785466827496096,-7.038417518925311e-4,0.0024690358617340813,0.052531,5.2531e-4
2016-06-20,0.013744269910880513,0.0010934144020768866,8.390803189730622e-4,0.016049582105220672,0.052531,5.2531e-4
2016-06-21,0.013763314805774085,0.0025942442237596453,-6.547906811659177e-4,0.010113453476127132,0.052531,5.2531e-4
2016-06-22,-0.015805446877691476,-0.009396737553296952,-3.123009846666136e-4,-0.013415161886777605,0.052531,5.2531e-4
2016-06-23,0.031706833955188474,0.0013747384803113327,-8.514391772279639e-4,0.02799266289177771,0.052531,5.2531e-4
2016-06-24,-0.030732406640785692,-0.027045492728612675,-7.356817931017945e-4,-0.02821955003878973,0.052531,5.2531e-4
2016-06-27,-0.014823990636752105,-0.013263756243491631,-3.619765144728948e-4,-0.017143997605029493,0.052531,5.2531e-4
2016-06-28,0.016718977581378303,-0.007435959399358372,0.0020928591155982,0.015453031718312138,0.052531,5.2531e-4
2016-06-29,0.017677220322322773,-0.0036017862960648905,0.0017332614713736483,0.019897214389985374,0.052531,5.2531e-4
2016-06-30,0.00787726151418755,0.0046269473377651416,0.001571298430535828,0.010293713972001184,0.052531,5.2531e-4
2016-07-01,0.016232415507515974,0.008491599156374319,0.005664892318210546,0.013701554524812254,0.052531,5.2531e-4
2016-07-04,0.005915977962468677,-0.00599397988831929,-8.801534502016484e-4,0.006432714950318719,0.052531,5.2531e-4
2016-07-05,-0.014899006989623431,0.02110554470206205,2.308641000250411e-4,-0.013829443207974301,0.052531,5.2531e-4
2016-07-06,0.002985104992615062,0.01518551968436288,-0.0015974537922824883,0.0011573627560665933,0.052531,5.2531e-4
2016-07-07,0.0015872621812589305,0.007617771121958494,0.0011619842554175808,0.002177180070132234,0.052531,5.2531e-4
2016-07-08,0.021196507617416982,-0.003848780471434665,0.005639109166590606,0.02164760165336932,0.052531,5.2531e-4
2016-07-11,0.014548981786614679,0.007589284022340603,-3.021275824344194e-5,0.015411828907999414,0.052531,5.2531e-4
2016-07-12,0.0049713602298913084,0.0017804011063979885,-1.9336749492415706e-4,0.0054855448480355395,0.052531,5.2531e-4
