date,valor
2019-12-27,100
2019-12-30,99.78399453393205
2020-01-02,100.77082394057017
2020-01-03,100.89400383523267
2020-01-06,100.72946531388746
2020-01-07,100.62700238951653
2020-01-08,100.26525479640524
2020-01-09,100.38014518855867
2020-01-10,100.35918713330045
2020-01-13,101.09980792546085
2020-01-14,101.08227222533223
2020-01-15,101.13315191959398
2020-01-16,101.28270649007331
2020-01-17,101.48654020425829
2020-01-20,101.78026128941275
2020-01-21,101.29490762865433
2020-01-22,101.37625254196514
2020-01-23,101.55193139266441
2020-01-24,101.20231459469626
2020-01-27,100.12219671636252
2020-01-28,100.67099156416609
2020-01-29,100.63273866499517
2020-01-30,100.74691879001544
2020-01-31,100.09815748824805
2020-02-03,100.22322247840602
2020-02-04,100.76181386453572
2020-02-05,100.93304019300166
2020-02-06,101.04310608118173
2020-02-07,100.72923834600316
2020-02-10,100.72850626686613
2020-02-11,101.36023000100282
2020-02-12,101.85179304426693
2020-02-13,101.64449306749535
2020-02-14,101.27437702302842
2020-02-17,101.86842738915618
2020-02-18,101.62544507304702
2020-02-19,101.84786378084387
2020-02-20,101.55603875357642
2020-02-21,101.22176453654411
2020-02-26,98.28352767327002
2020-02-27,97.19874415772426
2020-02-28,97.08820027742921
2020-03-02,98.66412347960735
2020-03-03,98.0760848065484
2020-03-04,99.5722125455084
2020-03-05,98.19151259460098
2020-03-06,96.90895117094108
2020-03-09,92.89372785992771
2020-03-10,94.95508487105874
2020-03-11,92.76349362626712
2020-03-12,87.72543667317959
2020-03-13,91.51610280256523
2020-03-16,87.21151407167473
2020-03-17,88.37250108514228
2020-03-18,84.77879700379394
2020-03-19,84.58764532359534
2020-03-20,84.09925771434607
2020-03-23,82.63789553334036
2020-03-24,85.71194062254541
2020-03-25,87.18796280920353
2020-03-26,89.22256268670355
2020-03-27,88.36493784764028
2020-03-30,89.67654277003071
2020-03-31,89.12450794074452
2020-04-01,86.63601547138578
2020-04-02,87.24069082760515
2020-04-03,86.35894853341922
2020-04-06,88.57207226556073
2020-04-07,89.24640524398741
2020-04-08,90.21632379776862
2020-04-09,90.23071203813679
2020-04-13,90.71624175087973
2020-04-14,91.65118616757431
2020-04-15,91.2389625734024
2020-04-16,91.4617698133847
2020-04-17,91.95403799919153
2020-04-20,91.73641133487334
2020-04-22,92.61030389054574
2020-04-23,92.9013096682134
2020-04-24,92.12780925377785
2020-04-27,93.34129104119957
2020-04-28,93.63502108284041
2020-04-29,94.09483853892837
2020-04-30,93.62805267292322
2020-05-04,93.04647669196922
2020-05-05,93.56667261215212
2020-05-06,93.76945883837634
2020-05-07,94.53832985364215
2020-05-08,94.80243016415008
2020-05-11,94.8388734026685
2020-05-12,94.23956159247724
2020-05-13,93.86820750472499
2020-05-14,93.95722548875436
2020-05-15,93.8692514916499
2020-05-18,95.00482954646144
2020-05-19,95.1711442488521
2020-05-20,95.17737543130778
2020-05-21,94.95761678913051
2020-05-22,95.02933102816976
2020-05-25,95.72868721028486
2020-05-26,95.30702180669141
2020-05-27,96.05279219823845
2020-05-28,96.24691480092986
2020-05-29,96.4689766011285
2020-06-01,97.08335060857368
2020-06-02,97.46439964057615
2020-06-03,97.784294600821
2020-06-04,98.20925761533347
2020-06-05,98.46637047695226
2020-06-08,99.11842682213482
2020-06-09,98.8803521641523
2020-06-10,98.6480109338908
2020-06-12,97.47394340744715
2020-06-15,97.88771458385719
2020-06-16,98.94224726177676
2020-06-17,99.48435366408124
2020-06-18,100.2075605885276
2020-06-19,99.89694261421769
2020-06-22,99.52688364347868
2020-06-23,99.3452540340046
2020-06-24,99.05846807924254
2020-06-25,99.73835849677405
2020-06-26,99.20444163663096
2020-06-29,99.83344883603
2020-06-30,100.21164530360603
2020-07-01,100.09905760233528
2020-07-02,100.43011860196867
2020-07-03,100.69966445947534
2020-07-06,101.33862761045515
2020-07-07,100.90411577994885
2020-07-08,101.30504039284742
2020-07-09,100.88377956561416
2020-07-10,101.28262384001177
2020-07-13,100.91811994151867
2020-07-14,101.43261605331419
2020-07-15,102.16721860064271
2020-07-16,101.45696676929816
2020-07-17,102.36440060013717
2020-07-20,102.63688141385182
2020-07-21,102.1062957512069
2020-07-22,101.81121928407468
2020-07-23,101.50827623489019
2020-07-24,101.37126707316794
2020-07-27,101.67082267167466
2020-07-28,101.51522984457904
2020-07-29,102.2432971925554
2020-07-30,102.10437720508068
2020-07-31,101.9421553586038
2020-08-03,102.42256204957472
2020-08-04,101.9183015807556
2020-08-05,102.53330679663762
2020-08-06,103.08772185529854
2020-08-07,103.4193764192477
2020-08-10,103.89319230397365
2020-08-11,103.12004674341554
2020-08-12,103.55944905307184
2020-08-13,102.85896821572396
2020-08-14,103.37937949544546
2020-08-17,103.31779777244051
2020-08-18,103.88668215777986
2020-08-19,103.83956919000808
2020-08-20,104.10662488900405
2020-08-21,104.64578683127829
2020-08-24,104.97915321986963
2020-08-25,104.69287088398104
2020-08-26,104.93558358693818
2020-08-27,104.9103645180081
2020-08-28,104.69634850968316
2020-08-31,104.28004047999606
2020-09-01,104.63958203578146
2020-09-02,104.84323598475537
2020-09-03,103.48128382920922
2020-09-04,103.37416981440727
2020-09-08,102.824113409696
2020-09-09,103.26292654568664
2020-09-10,102.42082324590794
2020-09-11,102.28555793654172
2020-09-14,102.79588231374076
2020-09-15,102.98547642593107
2020-09-16,102.67133692768334
2020-09-17,102.57721724355494
2020-09-18,102.53909618348058
2020-09-21,101.81850799542038
2020-09-22,102.47831406392268
2020-09-23,102.13822345360265
2020-09-24,102.05852448187554
