date,valor
2021-12-27,99.99999999999999
2021-12-28,100.03608179495416
2021-12-29,100.46452534465647
2021-12-30,100.30743061124596
2022-01-03,100.17220811186948
2022-01-04,100.00317288063098
2022-01-05,98.55159826897398
2022-01-06,98.46907640508499
2022-01-07,98.40300734020417
2022-01-10,98.21762443651734
2022-01-11,98.67519775153804
2022-01-12,98.98777388765761
2022-01-13,98.49396100602816
2022-01-14,99.03934210952474
2022-01-17,99.26517153636519
2022-01-18,99.00747419082279
2022-01-19,98.48002689383723
2022-01-20,98.11305178399788
2022-01-21,97.6632947350067
2022-01-24,97.40207549593833
2022-01-25,97.64173540219407
2022-01-26,97.67223923344098
2022-01-27,97.61526959418327
2022-01-28,97.9776730774515
2022-01-31,98.39828998973815
2022-02-01,98.7038620485211
2022-02-02,99.09895890986726
2022-02-03,98.88715470606365
2022-02-04,99.03768624698941
2022-02-07,98.1212207056594
2022-02-08,98.53750452627943
2022-02-09,98.2173832466255
2022-02-10,98.05016217214677
2022-02-11,97.62154814167639
2022-02-14,97.18019039465761
2022-02-15,97.5904913083609
2022-02-16,97.59502738008305
2022-02-17,96.8067016454209
2022-02-18,96.2727156429082
2022-02-21,94.60837743412333
2022-02-22,94.85581659705055
2022-02-23,93.65294756650741
2022-02-24,93.3086814842097
2022-02-25,96.29678338631777
2022-03-02,97.00847410739695
2022-03-03,96.5410940170388
2022-03-04,96.06466599239927
2022-03-07,94.37398287503714
2022-03-08,94.05980389693529
2022-03-09,95.24996653942188
2022-03-10,94.98908937707917
2022-03-11,94.45984209560515
2022-03-14,93.7608201020892
2022-03-15,94.20825826068163
2022-03-16,95.26568133823879
2022-03-17,95.73222700448822
2022-03-18,96.95477697759748
2022-03-21,96.99529511989776
2022-03-22,97.18145385605047
2022-03-23,96.51143728130569
2022-03-24,97.2050262578921
2022-03-25,97.14708869741233
2022-03-28,97.42501865687632
2022-03-29,98.16607876045829
2022-03-30,98.37587326706715
2022-03-31,97.89258132557308
2022-04-01,97.30810078277364
2022-04-04,97.17657238853963
2022-04-05,96.08599302024595
2022-04-06,96.11052005133122
2022-04-07,97.09823994467557
2022-04-08,96.50790201141197
2022-04-11,95.40394352521764
2022-04-12,94.9274938525273
2022-04-13,95.10405945794032
2022-04-14,94.75784496634917
2022-04-18,94.27385177501614
2022-04-19,94.72173480328063
2022-04-20,94.3846592640676
2022-04-22,93.25585774164622
2022-04-25,93.87196757827877
2022-04-26,92.89886631518026
2022-04-27,93.19080498497395
2022-04-28,93.64031531273648
2022-04-29,92.0341478418108
2022-05-02,92.48194113429888
2022-05-03,92.4396823831961
2022-05-04,93.42077881089772
2022-05-05,92.76738715191367
2022-05-06,92.25274849238917
2022-05-09,91.0840070219183
2022-05-10,90.89233769540161
2022-05-11,90.8402679266751
2022-05-12,90.91099061630138
2022-05-13,91.38476804245309
2022-05-16,91.71902021111315
2022-05-17,92.87590168599694
2022-05-18,90.08339245037757
2022-05-19,89.84878662705198
2022-05-20,89.96803632713096
2022-05-23,90.86413102805643
2022-05-24,90.89939912594924
2022-05-25,91.03878317137838
2022-05-26,91.6649981087125
2022-05-27,92.28088466589277
2022-05-30,92.52455867538566
2022-05-31,92.30479752080788
2022-06-01,92.52653591118403
2022-06-02,93.2867043044068
2022-06-03,92.43900792690094
2022-06-06,92.46726516961814
2022-06-07,92.94627568787224
2022-06-08,92.42814265598889
2022-06-09,91.64028029739728
2022-06-10,90.39971566940989
2022-06-13,89.00193119111883
2022-06-14,88.78822380696064
2022-06-15,88.9706063467816
2022-06-17,88.04397560644307
2022-06-20,88.54657368812042
2022-06-21,88.61734051644058
2022-06-22,88.72424164367408
2022-06-23,89.10257796541788
2022-06-24,90.14090652645554
2022-06-27,90.55240601140366
2022-06-28,90.3278951280616
2022-06-29,89.68891813344337
2022-06-30,89.39894259696052
2022-07-01,90.82256848597888
2022-07-04,90.11894090259187
2022-07-05,89.85858405908662
2022-07-06,90.35924350628945
2022-07-07,91.55786300565137
2022-07-08,91.09102062366745
2022-07-11,90.49093643772099
2022-07-12,90.23759155196862
2022-07-13,89.83672736054278
2022-07-14,89.35850122059614
2022-07-15,89.78624805822454
2022-07-18,89.79935862032305
2022-07-19,90.77961688477228
2022-07-20,91.59391676214787
2022-07-21,92.28048032931663
2022-07-22,91.95725239993506
2022-07-25,91.46505766370761
2022-07-26,90.78499612451752
2022-07-27,91.54531890801448
2022-07-28,92.01603657335734
2022-07-29,92.91125472960763
2022-08-01,92.42984706561131
2022-08-02,93.18595226608886
2022-08-03,93.99307639310844
2022-08-04,94.10709575316358
2022-08-05,93.8093581662209
2022-08-08,94.16578970829822
2022-08-09,94.1883681190282
2022-08-10,94.92902250428922
2022-08-11,95.47290244792156
2022-08-12,96.54789770897071
2022-08-15,97.56891581749177
2022-08-16,97.7919008481767
2022-08-17,98.00054832197982
2022-08-18,98.15007290976942
2022-08-19,97.182175831177
2022-08-22,96.36501578691417
2022-08-23,96.42211415712359
2022-08-24,96.62148541066831
2022-08-25,97.02502162873174
2022-08-26,95.24072033436151
2022-08-29,95.2713920248195
2022-08-30,94.96127627913914
2022-08-31,95.32897738173988
2022-09-01,95.56552329989114
2022-09-02,95.41155744482974
2022-09-05,95.6169937717265
2022-09-06,95.15900811340681
2022-09-08,95.67495790558573
2022-09-09,96.49141099697144
2022-09-12,97.35164649406595
2022-09-13,95.74327267623936
2022-09-14,95.61375622771627
2022-09-15,95.36956938342735
2022-09-16,94.92504834774368
2022-09-19,95.24622933530223
2022-09-20,95.24295118864833
2022-09-21,94.4199320697219
